NAME,MSR F%,SQ F%,FIXED ISSUES,OPEN ISSUES,FINAL F%,FINAL FIXED ISSUES,FINAL OPEN ISSUES,LOC,FILES,CLASS,CONTRIBUTORS
airavata-django-portal,74.78%,47.03%,8.7K,9.8K,24.76%,3234,9828,41192,267,614
bloodhound,47.66%,37.25%,5.7K,9.6K,36.12%,5424,9592,74658,427,1068
incubator-mxnet,86.41%,82.35%,84K,18K,75.21%,53862,17752,95883,685,743
cassandra-dtest,82.44%,71.19%,42K,17K,30.34%,7519,17262,61333,147,487
chemistry-cmislib,60.55%,55.17%,1.6K,1.3K,51.41%,1407,1330,5020,18,86
incubator-sdap-nexus,78.22%,12.92%,757,5.1K,6.89%,380,5132,17056,128,173
cloudstack-ec2stack,84.40%,68.28%,493,229,61.25%,362,229,4456,48,21,5
qpid-dispatch,78.12%,46.20%,8.5K,9.9K,26.86%,3648,9934,29628,104,447
fluo-muchos,94.68%,80.70%,761,182,32.34%,87,182,983,9,4
cloudstack-gcestack,76.45%,93.89%,5.7K,371,40.35%,251,371,3102,54,37
